"filename", "language", "YAML", "Dart", "JavaScript", "HTML", "Markdown", "JSON", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\assets\config\1.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\code\r6box\r6box\assets\config\app_config.json", "JSON", 0, 0, 0, 0, 0, -6, 0, 0, 0, -6
"e:\code\r6box\r6box\assets\data\exported_database.json", "JSON", 0, 0, 0, 0, 0, 5389, 0, 0, 0, 5389
"e:\code\r6box\r6box\docs\WEB_PLATFORM_GUIDE.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 0, 39, 108
"e:\code\r6box\r6box\lib\components\layout\app_shell.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 4, 11, 102
"e:\code\r6box\r6box\lib\components\layout\main_layout.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 4, 7, 58
"e:\code\r6box\r6box\lib\components\layout\page_configuration.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 3, 8, 38
"e:\code\r6box\r6box\lib\components\web\web_readonly_components.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 3, 11, 88
"e:\code\r6box\r6box\lib\config\build_config.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, -1, -1, 2
"e:\code\r6box\r6box\lib\features\page-modules\fullscreen_test_page_module.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 5, 11, 48
"e:\code\r6box\r6box\lib\features\page-modules\user_preferences_page_module.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\l10n\app_localizations.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 164, 41, 246
"e:\code\r6box\r6box\lib\l10n\app_localizations_en.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 41, 130
"e:\code\r6box\r6box\lib\l10n\app_localizations_zh.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 41, 129
"e:\code\r6box\r6box\lib\main.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 5, 1, 26
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"e:\code\r6box\r6box\lib\models\user_preferences.dart", "Dart", 0, 316, 0, 0, 0, 0, 0, 49, 67, 432
"e:\code\r6box\r6box\lib\models\user_preferences.g.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 4, 13, 146
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"e:\code\r6box\r6box\lib\pages\home\home_page.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, -1, -1, 17
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 9, 4, 156
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 11, 4, 98
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 7, 2, 48
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 3, 1, 10
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 59, 9, 126
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 0, -34, 0, 0, 0, 0, 0, 0, -1, -35
"e:\code\r6box\r6box\lib\pages\settings\user_preferences_page.dart", "Dart", 0, 256, 0, 0, 0, 0, 0, 9, 23, 288
"e:\code\r6box\r6box\lib\pages\settings\widgets\layout_settings_section.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 7, 22, 223
"e:\code\r6box\r6box\lib\pages\settings\widgets\map_editor_settings_section.dart", "Dart", 0, 230, 0, 0, 0, 0, 0, 7, 22, 259
"e:\code\r6box\r6box\lib\pages\settings\widgets\theme_settings_section.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 7, 19, 202
"e:\code\r6box\r6box\lib\pages\settings\widgets\tool_settings_section.dart", "Dart", 0, 375, 0, 0, 0, 0, 0, 9, 29, 413
"e:\code\r6box\r6box\lib\pages\settings\widgets\user_management_section.dart", "Dart", 0, 394, 0, 0, 0, 0, 0, 20, 40, 454
"e:\code\r6box\r6box\lib\pages\test\fullscreen_test_page.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 1, 3, 49
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 5, 11, 117
"e:\code\r6box\r6box\lib\providers\user_preferences_provider.dart", "Dart", 0, 333, 0, 0, 0, 0, 0, 40, 53, 426
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, -1, -2, 0
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 18, 21, 179
"e:\code\r6box\r6box\lib\services\user_preferences_service.dart", "Dart", 0, 272, 0, 0, 0, 0, 0, 40, 59, 371
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 15, 13, 111
"e:\code\r6box\r6box\lib\services\web_database_preloader.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 13, 14, 105
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 2, 0, 20
"e:\code\r6box\r6box\pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 0, 0, -1, -1, 0
"e:\code\r6box\r6box\scripts\build_config_generator.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, -1, 0, 2
"e:\code\r6box\r6box\scripts\database_exporter.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 11, 16, 99
"e:\code\r6box\r6box\web\index.html", "HTML", 0, 0, 0, 4, 0, 0, 0, 1, 0, 5
"e:\code\r6box\r6box\web\sqflite_sw.js", "JavaScript", 0, 0, 9504, 0, 0, 0, 0, 1, 2, 9507
"e:\code\r6box\r6box\web\sqlite3.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 14659, 0, 242, 14901
"Total", "-", 2, 4071, 9504, 4, 69, 5389, 14659, 535, 903, 35136
