Date : 2025-05-30 22:18:18
Directory : e:\code\r6box\r6box
Total : 154 files,  48537 codes, 2450 comments, 3355 blanks, all 54342 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Dart                    |         86 |     16,283 |      2,129 |      2,501 |     20,913 |
| WebAssembly Text Format |          1 |     14,659 |          0 |        242 |     14,901 |
| JavaScript              |          1 |      9,504 |          1 |          2 |      9,507 |
| JSON                    |          7 |      5,670 |          0 |          5 |      5,675 |
| Markdown                |          9 |        707 |          0 |        224 |        931 |
| C++                     |         16 |        540 |        131 |        189 |        860 |
| XML                     |         10 |        470 |         53 |         12 |        535 |
| CMake                   |          8 |        461 |          0 |         92 |        553 |
| PowerShell              |          1 |         60 |         10 |         19 |         89 |
| Swift                   |          6 |         59 |          7 |         21 |         87 |
| YAML                    |          4 |         47 |         93 |         28 |        168 |
| Shell Script            |          1 |         46 |         10 |         12 |         68 |
| HTML                    |          1 |         23 |         16 |          5 |         44 |
| Properties              |          3 |          8 |          0 |          3 |         11 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        154 |     48,537 |      2,450 |      3,355 |     54,342 |
| . (Files)                                                                            |          6 |         57 |         93 |         36 |        186 |
| android                                                                              |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                      |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                          |          7 |         66 |         51 |          9 |        126 |
| android\app\src                                                                      |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                 |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                         |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                             |          4 |         26 |         32 |          6 |         64 |
