"filename", "language", "Dart", "HTML", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"e:\code\r6box\r6box\assets\data\exported_database.json", "JSON", 0, 0, 0, 0, 371, 0, 0, 371
"e:\code\r6box\r6box\docs\IMAGE_AREA_TOOL.md", "Markdown", 0, 0, 0, 115, 0, 0, 29, 144
"e:\code\r6box\r6box\docs\IMAGE_AREA_TOOL_COMPLETION.md", "Markdown", 0, 0, 0, 84, 0, 0, 24, 108
"e:\code\r6box\r6box\docs\test_legend_auto_deselection.md", "Markdown", 0, 0, 0, 60, 0, 0, 15, 75
"e:\code\r6box\r6box\docs\test_legend_selection_validation.md", "Markdown", 0, 0, 0, 56, 0, 0, 22, 78
"e:\code\r6box\r6box\lib\components\color_picker_dialog.dart", "Dart", 546, 0, 0, 0, 0, 38, 70, 654
"e:\code\r6box\r6box\lib\components\examples\web_context_menu_example.dart", "Dart", 208, 0, 0, 0, 0, 5, 10, 223
"e:\code\r6box\r6box\lib\components\layout\app_shell.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 3
"e:\code\r6box\r6box\lib\components\layout\main_layout.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, -1
"e:\code\r6box\r6box\lib\components\layout\page_configuration.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 1
"e:\code\r6box\r6box\lib\components\web\web_context_menu_handler.dart", "Dart", 184, 0, 0, 0, 0, 15, 20, 219
"e:\code\r6box\r6box\lib\components\web\web_readonly_components.dart", "Dart", -3, 0, 0, 0, 0, 0, 0, -3
"e:\code\r6box\r6box\lib\config\build_config.dart", "Dart", 3, 0, 0, 0, 0, 1, 1, 5
"e:\code\r6box\r6box\lib\features\page-modules\web_context_menu_demo_page_module.dart", "Dart", 24, 0, 0, 0, 0, 1, 9, 34
"e:\code\r6box\r6box\lib\main.dart", "Dart", 6, 0, 0, 0, 0, 7, 2, 15
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 63, 0, 0, 0, 0, 1, 3, 67
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 11
"e:\code\r6box\r6box\lib\models\map_layer_example.dart", "Dart", 70, 0, 0, 0, 0, 7, 9, 86
"e:\code\r6box\r6box\lib\models\user_preferences.dart", "Dart", -4, 0, 0, 0, 0, -3, -6, -13
"e:\code\r6box\r6box\lib\models\user_preferences.g.dart", "Dart", 4, 0, 0, 0, 0, 0, 1, 5
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 7, 0, 0, 0, 0, 0, 1, 8
"e:\code\r6box\r6box\lib\pages\demo\web_context_menu_demo_page.dart", "Dart", 330, 0, 0, 0, 0, 7, 19, 356
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 13, 0, 0, 0, 0, 0, 1, 14
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 596, 0, 0, 0, 0, 111, 114, 821
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 840, 0, 0, 0, 0, 37, 38, 915
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 741, 0, 0, 0, 0, 129, 127, 997
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 80, 0, 0, 0, 0, 21, 14, 115
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 1159, 0, 0, 0, 0, 189, 187, 1535
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\z_index_inspector.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 4
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", -41, 0, 0, 0, 0, 0, 0, -41
"e:\code\r6box\r6box\lib\pages\settings\user_preferences_page.dart", "Dart", 17, 0, 0, 0, 0, 0, 1, 18
"e:\code\r6box\r6box\lib\pages\settings\widgets\layout_settings_section.dart", "Dart", 8, 0, 0, 0, 0, 1, 1, 10
"e:\code\r6box\r6box\lib\pages\settings\widgets\map_editor_settings_section.dart", "Dart", -138, 0, 0, 0, 0, -4, -14, -156
"e:\code\r6box\r6box\lib\pages\settings\widgets\theme_settings_section.dart", "Dart", -10, 0, 0, 0, 0, 0, 0, -10
"e:\code\r6box\r6box\lib\pages\settings\widgets\tool_settings_section.dart", "Dart", 257, 0, 0, 0, 0, 2, 11, 270
"e:\code\r6box\r6box\lib\pages\settings\widgets\user_management_section.dart", "Dart", 392, 0, 0, 0, 0, 0, 29, 421
"e:\code\r6box\r6box\lib\pages\test\fullscreen_test_page.dart", "Dart", -3, 0, 0, 0, 0, 0, 0, -3
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 36, 0, 0, 0, 0, 0, 1, 37
"e:\code\r6box\r6box\lib\providers\user_preferences_provider.dart", "Dart", 30, 0, 0, 0, 0, 2, 5, 37
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 3, 0, 0, 0, 0, 2, 2, 7
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 8
"e:\code\r6box\r6box\lib\services\user_preferences_service.dart", "Dart", 36, 0, 0, 0, 0, 8, 9, 53
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 3
"e:\code\r6box\r6box\lib\services\web_database_preloader.dart", "Dart", 1, 0, 0, 0, 0, 0, 1, 2
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 2, 2
"e:\code\r6box\r6box\scripts\build_config_generator.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 2
"e:\code\r6box\r6box\scripts\database_exporter.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 10
"e:\code\r6box\r6box\web\index.html", "HTML", 0, 1, 0, 0, 0, 1, 0, 2
"e:\code\r6box\r6box\web\js\web_context_menu_prevention.js", "JavaScript", 0, 0, 22, 0, 0, 6, 5, 33
"Total", "-", 5495, 1, 22, 315, 371, 584, 764, 7552
