"filename", "language", "Markdown", "YAML", "C++", "CMake", "Swift", "Dart", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\components\background_image_settings_dialog.dart", "Dart", 0, 0, 0, 0, 0, 500, 18, 28, 546
"e:\code\r6box\r6box\lib\components\external_resources\external_resources_browse_panel.dart", "Dart", 0, 0, 0, 0, 0, 351, 7, 24, 382
"e:\code\r6box\r6box\lib\components\external_resources\external_resources_export_panel.dart", "Dart", 0, 0, 0, 0, 0, 467, 7, 38, 512
"e:\code\r6box\r6box\lib\components\external_resources\external_resources_import_panel.dart", "Dart", 0, 0, 0, 0, 0, 1056, 61, 92, 1209
"e:\code\r6box\r6box\lib\config\build_config.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, -1, 1
"e:\code\r6box\r6box\lib\features\page-modules\external_resources_page_module.dart", "Dart", 0, 0, 0, 0, 0, 29, 4, 10, 43
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 17
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 8
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, -1, 1
"e:\code\r6box\r6box\lib\pages\external_resources\external_resources_page.dart", "Dart", 0, 0, 0, 0, 0, 66, 1, 10, 77
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 0, 0, 0, 0, 0, 144, 24, 15, 183
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 0, 0, 0, 0, 0, 167, 19, 16, 202
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 0, 0, 0, 0, 0, 30, 10, 4, 44
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 0, 0, 0, 0, 0, -11, 9, 0, -2
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_panel.dart", "Dart", 0, 0, 0, 0, 0, -1, 1, 0, 0
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 0, 0, 0, 0, 0, 251, 44, 41, 336
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\code\r6box\r6box\lib\services\clipboard_service.dart", "Dart", 0, 0, 0, 0, 0, 286, 36, 31, 353
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 0, 0, 0, 0, 0, 65, 12, 7, 84
"e:\code\r6box\r6box\lib\services\keyboard_shortcut_service.dart", "Dart", 0, 0, 0, 0, 0, 65, 12, 12, 89
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 0, 0, 0, 0, 0, 3, 1, 0, 4
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 0, 0, 0, 0, 0, 45, 10, 12, 67
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\code\r6box\r6box\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\code\r6box\r6box\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 8
"e:\code\r6box\r6box\pubspec.yaml", "YAML", 0, 2, 0, 0, 0, 0, 1, -1, 2
"e:\code\r6box\r6box\test_import_functionality.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 11, 63
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\code\r6box\r6box\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 2, 0, 0, 0, 0, 2
"Total", "-", 52, 2, 14, 4, 8, 3549, 277, 348, 4254
