"filename", "language", "Dart", "PowerShell", "Shell Script", "JavaScript", "YAML", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "hetu", "XML", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 6, 145
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 6, 145
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 6, 169
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 7, 119
"e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 6, 180
"e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 7, 124
